seq_index;GeneChoice_V_gene_Undefined_side_prio7_size103;GeneChoice_J_gene_Undefined_side_prio6_size68;Deletion_V_gene_Three_prime_prio5_size21;Deletion_J_gene_Five_prime_prio5_size23;Insertion_VJ_gene_Undefined_side_prio4_size41;DinucMarkov_VJ_gene_Undefined_side_prio3_size16;Errors
28;(60);(58);(10);(16);(7);(1,0,0,1,1,3,1);(312)
29;(13);(42);(9);(21);(6);(3,1,1,0,2,2);(128)
30;(13);(50);(10);(3);(6);(2,2,2,3,3,1);()
31;(102);(62);(4);(7);(13);(0,2,2,0,2,0,1,2,0,1,3,2,2);(267)
32;(14);(50);(11);(8);(11);(1,1,1,2,3,1,0,1,1,1,2);(159,252)
33;(53);(1);(5);(11);(1);(2);(223,245)
34;(25);(7);(2);(10);(12);(3,2,0,1,1,1,3,3,2,2,1,3);(331)
35;(41);(42);(11);(22);(3);(2,3,0);(10,26)
36;(34);(32);(7);(10);(10);(2,3,0,0,0,1,2,0,1,1);()
37;(13);(67);(14);(7);(2);(2,0);(186)
38;(14);(66);(4);(13);(5);(3,1,1,2,2);(207)
39;(17);(56);(5);(9);(22);(2,2,2,2,2,2,2,1,1,1,3,0,0,0,2,0,0,2,3,3,0,0);()
40;(58);(43);(8);(4);(1);(1);()
41;(25);(20);(6);(8);(4);(3,1,2,0);(243)
42;(58);(40);(8);(15);(10);(1,3,3,1,0,0,0,0,3,0);(310)
43;(99);(37);(8);(3);(9);(0,3,3,3,3,2,2,1,0);()
44;(19);(22);(3);(9);(5);(3,1,1,2,2);(292)
45;(25);(10);(16);(10);(6);(3,0,0,3,3,1);(271)
46;(70);(33);(5);(5);(8);(1,2,1,1,1,2,2,3);(10)
47;(23);(10);(7);(10);(14);(3,2,3,0,2,0,0,2,1,2,3,2,2,2);(302)
48;(25);(32);(12);(12);(6);(2,2,0,2,1,0);()
49;(16);(62);(5);(8);(10);(1,3,2,2,2,2,0,1,1,1);(145)
50;(32);(45);(9);(15);(5);(1,1,3,3,1);(325)
51;(41);(47);(6);(10);(7);(2,0,1,1,1,1,1);(51,150,214)
52;(47);(41);(6);(7);(7);(0,2,1,1,1,2,2);(183,325)
53;(25);(35);(9);(19);(4);(2,0,3,0);(242,326)
54;(13);(42);(8);(10);(5);(2,0,2,3,0);(53,111)
55;(4);(9);(9);(3);(10);(1,2,2,1,1,2,2,2,2,1);()
56;(12);(55);(7);(15);(9);(2,1,1,0,1,1,1,1,2);()
57;(96);(56);(8);(11);(15);(3,2,0,0,0,3,1,3,1,1,1,0,1,2,2);()
58;(25);(15);(12);(7);(3);(1,0,2);(8,125)
59;(58);(54);(6);(9);(7);(3,3,0,0,0,2,0);(36,252)
60;(4);(24);(5);(16);(2);(3,2);(25)
61;(68);(22);(14);(10);(13);(3,2,2,3,1,1,2,1,2,2,0,0,0);()
62;(14);(45);(3);(7);(2);(3,2);()
63;(39);(15);(7);(3);(8);(3,2,2,3,3,1,2,0);(155,324)
64;(25);(34);(12);(5);(5);(2,1,0,2,1);(181)
65;(52);(15);(3);(8);(3);(0,1,2);(166)
66;(18);(35);(15);(19);(8);(0,0,1,3,2,1,2,0);(57)
67;(42);(2);(7);(7);(3);(2,0,3);()
68;(19);(2);(6);(7);(12);(2,3,1,1,3,1,2,2,2,2,0,1);(31)
69;(68);(56);(13);(10);(9);(1,2,1,1,2,0,0,2,2);(100,114,204)
70;(14);(24);(4);(5);(6);(0,1,1,1,1,1);(92,102)
71;(17);(34);(4);(6);(8);(0,3,3,0,1,3,2,2);()
72;(47);(15);(2);(3);(6);(1,1,1,1,3,0);()
73;(42);(9);(9);(12);(5);(1,1,1,3,0);(179,191)
74;(58);(40);(2);(11);(9);(2,2,3,2,2,2,2,2,2);()
75;(99);(49);(8);(15);(9);(3,1,3,3,1,2,3,3,1);(109)
76;(91);(58);(8);(8);(6);(0,2,2,2,2,1);(93)
77;(4);(36);(2);(5);(2);(2,0);(259)
78;(7);(42);(5);(10);(4);(1,3,2,0);(89,183,270)
79;(60);(32);(11);(13);(9);(1,1,2,2,0,3,0,2,0);(149)
80;(16);(66);(5);(12);(7);(1,1,1,1,1,1,3);()
81;(16);(17);(7);(12);(6);(1,2,2,1,1,1);()
82;(60);(55);(6);(12);(2);(2,0);(33,267)
83;(42);(44);(7);(9);(14);(2,0,1,0,0,1,1,1,1,3,1,2,2,2);(147,221)
84;(70);(49);(5);(15);(8);(1,1,0,2,2,0,2,1);()
85;(13);(39);(7);(15);(2);(0,2);()
86;(14);(54);(6);(11);(3);(3,3,1);(225)
87;(13);(2);(9);(8);(3);(1,1,3);(38)
88;(13);(51);(9);(2);(8);(1,1,1,0,0,0,2,2);(59,191)
89;(14);(49);(7);(12);(7);(0,2,2,2,0,3,1);()
90;(23);(60);(5);(6);(9);(0,0,0,0,0,0,0,1,1);()
91;(13);(36);(2);(6);(10);(0,2,0,3,0,3,0,2,0,3);(307)
92;(86);(41);(9);(10);(3);(3,2,0);()
93;(16);(17);(5);(18);(1);(2);(140)
94;(14);(9);(9);(12);(6);(1,2,2,2,2,2);(106)
95;(99);(17);(7);(5);(8);(2,1,1,3,2,3,3,0);(22,86)
96;(74);(14);(7);(9);(2);(3,0);()
97;(6);(1);(9);(4);(5);(0,1,1,3,1);(236)
98;(58);(32);(3);(7);(5);(2,2,1,3,3);(201)
99;(25);(40);(11);(4);(4);(0,2,0,3);(302)
100;(60);(28);(12);(12);(3);(3,3,2);(231)
101;(13);(17);(4);(6);(7);(3,0,1,1,2,2,1);(218)
102;(25);(17);(9);(5);(7);(0,0,0,0,3,2,1);()
103;(16);(50);(10);(7);(0);();(11)
104;(7);(17);(3);(7);(3);(3,1,3);()
105;(70);(1);(13);(3);(4);(1,1,0,2);()
106;(47);(34);(5);(2);(4);(0,0,3,0);(125)
107;(41);(54);(5);(7);(5);(0,0,0,0,0);(98,121)
108;(23);(47);(11);(5);(4);(3,3,1,2);(4,253)
109;(32);(50);(8);(6);(4);(1,2,0,0);()
110;(70);(44);(5);(10);(13);(0,3,3,0,2,1,1,2,2,2,3,1,3);()
111;(10);(51);(6);(8);(12);(3,1,2,1,1,1,1,1,2,0,3,0);()
112;(99);(15);(7);(7);(10);(2,0,3,3,3,0,2,2,0,2);(55)
113;(25);(38);(11);(12);(7);(2,1,0,2,2,2,3);()
114;(14);(36);(8);(2);(11);(1,1,0,1,1,1,0,2,1,2,2);()
115;(14);(22);(8);(9);(4);(2,0,0,2);()
116;(14);(50);(7);(10);(4);(2,2,2,2);()
117;(47);(50);(9);(6);(6);(3,3,0,0,2,1);()
118;(68);(40);(5);(7);(6);(0,2,2,3,0,0);(16,133,227)
119;(14);(56);(8);(5);(7);(2,1,2,1,3,3,0);(1)
120;(19);(10);(10);(11);(9);(2,2,2,1,1,1,0,1,1);()
121;(14);(52);(5);(8);(4);(3,2,0,1);(321)
122;(0);(67);(9);(12);(7);(1,2,2,3,1,1,2);(110,142)
123;(13);(50);(8);(3);(3);(0,0,1);()
124;(50);(60);(7);(5);(5);(2,3,3,1,2);(80)
125;(0);(30);(9);(8);(4);(0,2,0,1);(247)
126;(23);(9);(11);(9);(13);(0,2,2,3,3,2,2,2,2,2,2,2,3);()
127;(68);(10);(5);(12);(9);(1,1,1,2,2,3,0,3,3);(234)
128;(25);(36);(13);(5);(4);(1,2,2,2);()
129;(51);(25);(3);(13);(3);(0,1,1);(227,275,320,325)
130;(25);(60);(12);(8);(10);(2,2,2,0,0,2,2,2,1,0);(16,113,309)
131;(14);(67);(5);(9);(6);(3,2,3,3,1,2);()
132;(25);(44);(4);(11);(9);(1,1,1,0,1,0,1,3,2);(42,220)
133;(42);(62);(3);(7);(3);(3,1,1);()
134;(35);(32);(7);(10);(3);(3,2,3);(29)
135;(47);(55);(8);(6);(7);(0,1,2,2,2,0,2);(337)
136;(28);(39);(10);(6);(5);(2,0,1,3,2);()
137;(41);(50);(6);(6);(6);(3,1,2,3,1,1);()
138;(50);(30);(2);(15);(11);(2,1,1,0,0,0,0,2,2,2,1);(48,246)
139;(99);(54);(11);(11);(5);(0,0,2,1,1);()
140;(70);(38);(2);(11);(10);(3,3,2,2,0,2,1,2,0,0);(8)
141;(28);(10);(7);(12);(10);(2,1,1,2,3,3,3,1,2,3);(181,241)
142;(12);(56);(7);(11);(21);(2,1,1,3,1,1,2,1,1,2,2,3,1,1,1,1,1,1,1,1,2);()
143;(68);(56);(12);(8);(9);(1,1,1,2,3,0,1,3,2);()
144;(18);(31);(4);(3);(8);(2,2,3,3,1,0,0,2);(346)
145;(37);(47);(5);(12);(3);(1,2,2);()
146;(37);(10);(5);(7);(9);(1,1,3,0,2,2,0,1,1);(281)
147;(25);(14);(10);(11);(1);(2);()
148;(28);(38);(10);(11);(4);(2,2,2,1);(93)
149;(28);(49);(5);(7);(4);(0,1,3,0);(219,301)
150;(25);(45);(6);(12);(10);(1,1,2,2,0,0,2,0,3,1);()
151;(16);(66);(3);(5);(5);(3,3,2,0,0);(212)
152;(32);(10);(6);(9);(11);(1,0,0,3,2,0,1,0,2,0,2);(43,95,111)
153;(70);(15);(10);(5);(6);(2,1,2,0,2,1);(121)
154;(25);(54);(13);(10);(11);(1,1,2,2,2,3,3,2,2,0,1);(269)
155;(42);(66);(4);(8);(5);(2,3,0,2,0);(266)
156;(43);(55);(17);(9);(3);(3,2,2);()
157;(68);(45);(9);(7);(8);(0,0,1,2,0,3,2,2);(131)
158;(14);(38);(7);(9);(10);(1,0,2,1,1,2,2,2,2,0);()
159;(25);(62);(4);(10);(4);(3,2,2,3);(138)
160;(68);(60);(8);(9);(15);(1,0,2,0,2,2,2,0,2,2,1,1,1,1,1);()
161;(16);(50);(9);(6);(7);(2,2,1,1,3,3,2);(288)
162;(16);(26);(10);(9);(1);(3);(90)
163;(70);(51);(10);(9);(9);(2,2,2,1,3,1,3,3,1);()
164;(25);(26);(14);(7);(1);(1);()
165;(32);(10);(7);(11);(7);(0,0,3,0,1,1,3);(286)
166;(68);(59);(7);(8);(6);(1,1,3,3,2,2);()
167;(25);(26);(11);(3);(4);(1,1,2,1);()
168;(4);(39);(2);(6);(3);(0,1,2);()
169;(23);(51);(4);(10);(13);(0,1,3,2,0,2,2,0,3,3,3,0,3);(139)
170;(25);(16);(15);(6);(6);(0,2,0,2,0,2);(58,120)
171;(50);(60);(7);(9);(7);(0,1,1,1,3,1,1);(283)
172;(25);(50);(11);(8);(5);(2,3,2,2,2);(7,97)
173;(58);(55);(8);(5);(4);(2,2,0,2);(40)
174;(6);(67);(5);(6);(4);(2,0,0,0);()
175;(25);(42);(7);(12);(16);(2,2,0,0,2,3,0,0,0,1,1,3,3,3,1,2);(302,343,351)
176;(17);(33);(4);(5);(7);(3,2,2,2,0,0,2);(141)
177;(69);(43);(7);(3);(4);(2,1,1,3);(301)
178;(47);(47);(9);(13);(2);(2,0);(38)
179;(35);(20);(5);(7);(4);(1,1,3,2);(324)
180;(14);(36);(4);(11);(11);(1,2,3,3,1,1,0,2,1,1,2);()
181;(16);(16);(8);(12);(12);(1,1,2,1,1,2,2,3,0,2,0,0);()
182;(12);(16);(2);(8);(2);(2,0);()
183;(14);(2);(7);(10);(2);(1,1);(75,142)
184;(69);(59);(9);(9);(6);(1,1,1,1,2,2);()
185;(100);(54);(4);(4);(2);(2,2);()
186;(4);(34);(8);(18);(8);(2,1,1,3,0,2,3,0);(24,139,154)
187;(47);(1);(1);(4);(9);(2,2,0,1,2,2,1,3,3);(147,155)
188;(11);(10);(7);(9);(5);(0,2,2,0,0);()
189;(51);(45);(4);(7);(16);(1,2,3,1,1,1,3,0,1,1,0,2,1,1,0,0);(298)
190;(99);(16);(8);(12);(6);(1,1,3,1,2,2);()
191;(95);(62);(9);(11);(4);(3,2,1,1);(52)
192;(81);(42);(8);(10);(5);(1,1,1,2,1);()
193;(4);(7);(9);(11);(7);(2,2,2,0,0,0,2);(114)
194;(14);(4);(9);(12);(0);();()
195;(42);(49);(4);(12);(3);(2,2,0);()
196;(14);(38);(4);(17);(3);(2,1,1);(271)
197;(58);(60);(6);(9);(2);(1,0);()
198;(37);(59);(4);(5);(3);(0,2,3);(267)
199;(4);(15);(2);(5);(5);(2,2,2,2,2);(188,237,323)
200;(64);(17);(5);(9);(12);(0,3,2,2,3,0,0,3,0,2,2,0);(328)
201;(72);(38);(6);(15);(4);(2,3,3,3);()
202;(0);(34);(8);(10);(2);(1,3);(107)
203;(32);(49);(6);(9);(11);(1,1,1,3,1,0,0,1,2,2,0);(289)
204;(16);(66);(3);(11);(2);(1,0);()
205;(25);(67);(3);(12);(3);(2,2,1);(257)
206;(47);(43);(11);(3);(3);(3,1,2);()
207;(13);(55);(9);(3);(3);(2,2,2);()
208;(51);(43);(3);(5);(15);(1,1,0,0,0,1,1,2,0,0,0,3,2,1,1);(82)
209;(13);(66);(8);(5);(3);(3,0,2);(127,249)
210;(68);(54);(12);(6);(4);(3,1,2,0);(116,277)
211;(51);(20);(3);(12);(6);(2,2,2,2,2,0);()
212;(53);(1);(7);(8);(4);(0,3,2,2);(289)
213;(13);(50);(5);(11);(8);(1,2,2,1,2,2,1,1);(161)
214;(22);(55);(3);(14);(9);(2,3,1,2,0,0,1,2,2);(246)
215;(41);(51);(6);(8);(17);(2,0,0,0,0,2,2,1,1,0,2,3,2,1,1,0,2);(219)
216;(12);(27);(4);(2);(1);(1);(336)
217;(25);(33);(3);(15);(9);(2,2,2,1,3,2,0,1,3);(307)
218;(25);(34);(8);(6);(13);(2,0,1,2,2,0,3,1,1,1,0,2,2);()
219;(70);(10);(3);(12);(4);(0,0,2,3);(292)
220;(13);(31);(3);(8);(4);(3,0,0,2);(269,295)
221;(41);(39);(6);(12);(5);(2,2,3,3,3);(213)
222;(0);(62);(2);(12);(9);(3,2,1,2,2,1,1,0,2);(119)
223;(47);(34);(3);(7);(9);(3,1,3,3,3,0,2,2,2);()
224;(70);(45);(6);(10);(13);(2,1,1,3,0,3,0,0,0,2,2,2,3);(77)
225;(19);(32);(6);(6);(10);(2,1,1,3,1,2,0,3,1,3);(245,314)
226;(14);(10);(12);(15);(5);(2,2,2,0,0);(214,298)
227;(16);(26);(15);(11);(4);(2,0,1,1);(198)
228;(14);(17);(12);(11);(6);(3,3,1,1,1,1);(225,241)
229;(25);(1);(9);(7);(9);(1,1,3,2,3,1,3,3,3);()
230;(17);(33);(7);(3);(3);(2,2,3);(96,200,285,323)
231;(74);(35);(7);(11);(8);(1,1,3,2,2,2,2,1);(168)
232;(11);(24);(11);(9);(7);(0,3,0,2,0,1,3);(220)
233;(20);(27);(6);(7);(5);(0,0,2,0,1);(94)
234;(60);(59);(7);(9);(2);(2,2);()
235;(17);(47);(2);(10);(5);(2,2,2,1,2);(66)
236;(99);(25);(9);(14);(4);(2,0,0,2);(120)
237;(69);(45);(7);(9);(6);(3,0,0,1,0,0);(134,153)
238;(59);(42);(5);(10);(11);(1,1,3,3,1,0,0,1,1,3,2);(61,76,104)
239;(14);(3);(9);(6);(7);(3,0,0,2,2,2,2);(56)
240;(16);(9);(8);(9);(8);(3,1,1,3,3,0,0,0);()
241;(47);(47);(5);(12);(4);(2,0,2,3);()
242;(47);(60);(6);(7);(5);(2,0,3,0,2);()
243;(30);(16);(3);(9);(9);(2,2,2,2,0,3,2,0,2);()
244;(28);(28);(5);(5);(7);(2,2,1,1,0,1,1);(48)
245;(18);(4);(8);(19);(9);(3,2,1,2,1,3,1,3,1);()
246;(17);(10);(5);(5);(11);(1,1,3,0,0,3,3,0,2,0,1);(19,143,344)
247;(58);(54);(9);(5);(5);(2,2,3,2,1);()
248;(25);(30);(8);(3);(5);(0,3,1,1,2);()
249;(18);(54);(16);(6);(7);(2,3,3,0,2,0,3);(131)
250;(58);(50);(5);(9);(4);(2,1,1,3);(144)
251;(70);(28);(10);(14);(6);(0,3,3,1,1,0);()
252;(14);(3);(5);(8);(4);(3,3,0,3);(8)
253;(74);(41);(7);(7);(6);(3,1,0,0,3,2);(79,196)
254;(44);(23);(3);(18);(6);(1,3,3,0,3,1);()
255;(68);(43);(4);(3);(1);(0);()
256;(35);(38);(3);(9);(3);(0,2,2);()
257;(25);(15);(11);(5);(10);(1,1,2,0,0,1,3,3,0,1);()
258;(23);(34);(7);(10);(3);(0,0,0);(280)
259;(37);(21);(2);(9);(15);(0,3,1,2,2,2,2,0,0,2,2,2,2,1,1);()
260;(47);(10);(8);(12);(0);();(26,300)
261;(25);(22);(13);(11);(4);(3,1,1,0);()
262;(68);(50);(5);(8);(14);(1,3,1,2,2,2,1,1,1,1,2,2,0,0);()
263;(71);(32);(9);(9);(0);();(118,125)
264;(37);(23);(6);(8);(2);(2,3);()
265;(25);(11);(3);(10);(7);(0,1,0,0,1,1,1);()
266;(18);(31);(8);(5);(4);(3,1,0,3);()
267;(31);(67);(4);(8);(4);(2,1,3,2);()
268;(73);(10);(8);(11);(4);(2,0,0,3);()
269;(25);(31);(6);(7);(8);(0,3,1,3,1,3,0,0);()
270;(6);(49);(13);(7);(6);(0,2,2,0,2,2);(37,247)
271;(41);(41);(9);(10);(5);(2,0,3,3,1);()
272;(22);(62);(17);(7);(6);(1,1,1,1,1,0);()
273;(99);(22);(11);(1);(6);(1,3,0,2,0,0);()
274;(51);(40);(9);(9);(4);(2,1,3,3);()
275;(18);(17);(16);(22);(8);(1,1,1,3,3,1,2,3);(267)
276;(50);(42);(2);(8);(5);(1,3,2,0,0);(10)
277;(13);(40);(7);(13);(3);(3,2,0);()
278;(17);(50);(4);(10);(7);(3,3,2,2,3,1,3);(38,165)
279;(25);(50);(2);(5);(4);(2,0,0,3);()
280;(16);(47);(5);(2);(4);(3,0,2,0);()
281;(35);(44);(4);(8);(4);(1,1,1,1);(158)
282;(73);(5);(9);(8);(3);(3,3,1);(219)
283;(35);(10);(4);(9);(11);(1,3,3,1,1,1,2,0,1,1,0);(79)
284;(50);(27);(8);(12);(12);(2,2,0,0,3,3,1,3,1,3,0,2);(97,149,153)
285;(43);(10);(17);(12);(6);(2,0,2,2,3,0);(207)
286;(60);(14);(7);(9);(9);(2,0,1,1,1,0,2,2,2);()
287;(42);(36);(4);(5);(10);(2,1,1,1,0,0,0,0,0,3);(318)
288;(25);(5);(6);(2);(5);(0,1,1,1,1);(197,264)
289;(57);(28);(5);(6);(3);(1,0,0);(190)
290;(2);(65);(3);(9);(18);(2,2,2,2,2,2,1,1,3,1,3,0,3,2,2,2,3,0);(178,239)
291;(14);(45);(5);(3);(12);(2,1,3,3,3,3,0,3,0,2,1,1);()
292;(51);(25);(8);(9);(15);(2,2,2,0,1,2,2,2,2,0,0,0,0,0,0);()
293;(92);(26);(6);(8);(7);(3,2,2,2,2,0,3);(0,54,202)
294;(6);(27);(4);(3);(13);(2,2,3,0,1,1,3,3,1,1,1,1,3);(291)
295;(50);(35);(2);(17);(10);(3,1,2,2,1,2,3,1,0,1);(269)
296;(42);(58);(8);(4);(5);(3,1,2,2,3);()
297;(99);(62);(10);(11);(9);(2,2,3,2,0,3,0,2,2);(76,223)
298;(25);(51);(8);(3);(3);(1,1,1);()
299;(70);(7);(7);(11);(8);(3,3,1,3,1,1,0,1);(16)
300;(19);(62);(8);(9);(2);(0,2);(190)
301;(25);(25);(12);(12);(10);(1,2,2,1,1,1,2,0,3,0);(32)
302;(58);(42);(8);(19);(6);(2,2,0,3,1,1);(72)
303;(32);(22);(8);(11);(3);(0,1,2);(62,227)
304;(4);(14);(9);(11);(5);(1,1,3,1,0);(270)
305;(14);(15);(12);(2);(6);(1,1,3,1,2,2);()
306;(22);(39);(8);(7);(4);(2,0,2,2);(163)
307;(16);(17);(7);(7);(4);(3,0,0,3);()
308;(14);(44);(6);(8);(7);(3,2,2,3,2,0,0);()
309;(14);(55);(5);(10);(4);(2,2,0,3);(175)
310;(13);(34);(10);(5);(6);(2,2,2,0,2,2);(12,69,200,252)
311;(14);(65);(5);(11);(8);(1,2,2,2,2,2,3,2);(15,208,335)
312;(32);(17);(9);(19);(7);(0,1,0,1,2,3,1);(239,251,303)
313;(23);(64);(5);(7);(7);(3,0,0,0,2,0,2);()
314;(68);(50);(16);(10);(8);(0,0,1,1,2,1,2,2);()
315;(25);(46);(12);(7);(5);(0,0,2,2,3);()
316;(18);(65);(3);(7);(3);(3,1,0);(69,304)
317;(41);(62);(7);(8);(3);(0,3,3);(61)
318;(4);(38);(6);(9);(3);(2,2,2);(220,283)
319;(42);(42);(8);(14);(10);(0,0,0,2,0,1,1,1,2,0);()
320;(12);(9);(4);(9);(4);(2,2,3,2);()
321;(16);(40);(8);(14);(4);(2,0,3,1);()
322;(22);(45);(10);(8);(10);(0,3,3,3,2,1,3,2,2,1);(30)
323;(25);(30);(2);(6);(10);(1,3,3,0,0,1,1,1,1,1);()
324;(2);(25);(11);(8);(7);(2,3,3,3,1,2,1);(176)
325;(47);(62);(1);(6);(4);(1,1,1,1);()
326;(23);(9);(7);(6);(10);(2,2,0,0,2,0,2,2,0,3);(89)
327;(69);(56);(5);(5);(20);(3,3,1,1,2,2,2,0,3,1,2,2,0,3,3,0,0,0,0,0);(83)
328;(47);(42);(1);(5);(9);(1,1,3,0,2,0,2,3,2);(17,303)
329;(25);(17);(3);(10);(14);(3,0,1,2,0,2,0,0,2,3,2,2,0,3);()
330;(0);(1);(7);(4);(5);(2,2,2,0,0);()
331;(68);(44);(4);(7);(4);(0,3,0,1);()
332;(13);(49);(7);(9);(4);(1,1,1,2);()
333;(58);(42);(6);(7);(2);(2,0);(137,266)
334;(47);(62);(5);(11);(6);(3,1,1,3,2,0);(40,249)
335;(18);(7);(3);(9);(6);(3,3,3,0,2,2);()
336;(19);(51);(3);(6);(4);(1,3,2,1);()
337;(26);(62);(3);(4);(5);(3,1,1,1,3);(322)
338;(16);(14);(10);(6);(7);(2,1,3,1,3,2,0);()
339;(32);(59);(6);(8);(4);(1,1,0,1);(113,315)
340;(64);(17);(16);(2);(4);(1,1,1,3);(73,207)
341;(65);(38);(5);(12);(6);(2,3,3,3,3,1);(276)
342;(29);(62);(5);(6);(6);(1,3,0,2,1,2);(228)
343;(29);(43);(5);(9);(2);(2,0);(275)
344;(25);(59);(6);(8);(3);(1,1,0);(226)
345;(14);(1);(8);(6);(7);(1,3,1,1,1,3,2);(211)
346;(76);(45);(5);(9);(8);(1,2,0,3,1,1,1,1);()
347;(17);(26);(5);(8);(11);(2,2,2,0,0,0,0,3,1,2,3);(38,92,198)
348;(58);(49);(2);(10);(4);(3,1,3,3);(192)
349;(22);(17);(9);(16);(5);(1,3,1,0,1);()
350;(69);(45);(12);(9);(12);(2,2,3,2,2,3,2,2,1,3,1,1);()
351;(47);(45);(5);(13);(3);(2,2,0);(152)
352;(10);(34);(4);(11);(12);(3,3,3,1,2,0,3,3,1,1,2,2);()
353;(51);(20);(4);(5);(5);(1,3,2,1,1);()
354;(17);(32);(4);(15);(8);(2,2,2,1,3,3,3,3);(183)
355;(13);(25);(4);(7);(13);(0,2,2,1,1,3,1,0,0,0,3,2,1);(227)
356;(50);(49);(11);(5);(11);(2,0,3,1,0,2,1,2,3,0,3);(33)
357;(22);(36);(16);(2);(5);(2,0,2,2,2);()
358;(70);(67);(13);(6);(4);(2,3,1,3);()
359;(53);(49);(9);(7);(9);(1,1,2,3,3,3,3,3,2);()
360;(27);(42);(12);(12);(15);(2,0,2,3,3,2,0,0,1,2,2,1,0,2,0);()
361;(2);(20);(3);(12);(1);(3);(201,272)
362;(50);(42);(16);(14);(15);(2,3,1,2,3,3,0,0,0,2,0,0,1,1,1);(54)
363;(68);(31);(11);(12);(2);(3,2);(78)
364;(69);(51);(5);(3);(5);(2,3,3,2,1);(19,184)
365;(36);(31);(9);(15);(4);(1,3,0,1);(68,159,236)
366;(51);(47);(2);(17);(6);(1,3,1,0,3,0);()
367;(58);(45);(3);(8);(12);(2,2,2,2,0,0,2,2,2,2,2,2);()
368;(36);(23);(9);(6);(8);(0,1,0,2,1,1,1,3);(145)
369;(34);(10);(9);(20);(10);(3,1,2,2,2,2,2,0,1,1);()
370;(73);(16);(7);(10);(9);(1,1,1,3,1,0,2,1,3);()
371;(22);(60);(8);(7);(9);(2,1,1,3,1,2,1,1,1);()
372;(70);(45);(9);(4);(7);(0,0,1,1,2,2,0);(27,153)
373;(17);(39);(9);(10);(10);(3,3,2,1,3,1,0,2,0,2);()
374;(47);(55);(9);(15);(12);(1,3,0,2,3,1,1,1,2,2,2,2);()
375;(42);(23);(4);(7);(4);(0,2,1,3);()
376;(47);(50);(1);(7);(6);(2,1,1,3,3,3);()
377;(0);(66);(8);(3);(14);(2,0,2,2,2,2,1,1,1,1,2,2,3,3);(99)
378;(14);(39);(8);(5);(4);(2,2,1,1);(284)
379;(36);(31);(9);(5);(6);(1,2,0,2,1,2);()
380;(6);(15);(16);(4);(12);(1,1,3,0,1,1,1,1,0,1,2,1);()
381;(16);(3);(12);(12);(4);(3,3,3,1);(233)
382;(0);(11);(3);(10);(13);(1,1,1,3,0,0,0,1,0,2,2,3,2);(310)
383;(47);(37);(7);(5);(2);(0,0);()
384;(42);(38);(8);(15);(1);(2);()
385;(13);(16);(5);(12);(7);(3,3,3,1,1,1,1);(27,150,231)
386;(51);(38);(4);(12);(4);(0,2,0,2);()
387;(64);(55);(5);(8);(6);(2,2,1,3,0,2);(279)
388;(70);(44);(16);(9);(10);(0,0,0,2,2,1,0,1,1,3);()
389;(19);(47);(5);(11);(2);(0,3);()
